Category,Ticker,Name,Currency,Exchange
Solenergi,13X,Xinyi Solar Holdings Ltd,EUR,Hong Kong
Brændselsceller,1ZB,Bloom Energy Corp,EUR,NasdaqGS
Elektriske biler,ALB,Albemarle Corporation,USD,
Bioplast,AVTX,Avantium NV,EUR,
Bioplast,AVTXF,Avantium NV,USD,
Vand,AWK,American Water Works Company Inc,USD,NYSE
"Naturgas, vand, infrastruktur",AY,Atlantica Sustainable Infrastructure PLC,USD,NasdaqGS
Brændselsceller,BE,Bloom Energy Corp,USD,
"Vandkraft, solenergi",BEP,Brookfield Renewable Partners LP,USD,NYSE
Vandkraft,BEP.UN,Brookfield Renewable Partners LP,CAD,
Brændselsceller,BLDP,Ballard Power Systems Inc,USD,NasdaqGS
Plantebaseret kød,BYND,Beyond Meat Inc,USD,
Kernekraft,CCJ,Cameco Corp,USD,NYSE
Fødevareingredienser,CPH:CHR,Chr Hansen Holding A/S,DKK,København
Vandkraft,CIG,Companhia Energetica Minas Gerais ADR Repstg One Pref Shs,USD,
Brændselsceller,CPWHF,Ceres Power Holdings plc,USD,
Kunderelationer,CRM,"salesforce.com, inc.",USD,NYSE
Solceller,CSIQ,Canadian Solar Inc.,USD,NasdaqGS
Genbrug,CVA,Covanta Holding Corp,USD,NYSE
Vindenergi,DNNGY,Orsted A S Unsponsored ADR,USD,
Polysilicone,DQ,Daqo New Energy Corp,USD,NYSE
Kernekraft,EDF,Stone Harbor Emerging Markets Income Fnd,USD,
Elektricitet,ELP,Companhia Paranaense de Energia ADR,USD,NYSE
Elektricitet,EME,Emcor Group Inc,USD,NYSE
Solenergi,ENPH,Enphase Energy Inc,USD,NasdaqGM
Miljø,EVX,VanEck Vectors Environmental Services ETF,USD,
Kernekraft,EXC,Exelon Corporation,USD,NasdaqGS
Brændselsceller,FCEL,FuelCell Energy Inc,USD,NasdaqGM
Solenergi,FSLR,"First Solar, Inc.",USD,NasdaqGS
Miljø,FTEK,Fuel Tech Inc,USD,NasdaqCM
Vindenergi,GCTAY,Siemens Gamesa Renewable Energy Unsponsored ADR,USD,XETRA
Vedvarende energi,GE,General Electric Company,USD,NYSE
Lægemidler,GSK,GlaxoSmithKline plc,USD,NYSE
Bolig,HD,Home Depot Inc,USD,NYSE
Byggematerialer,JCI,Johnson Controls International PLC,USD,NYSE
Solenergi,JKS,"JinkoSolar Holding Co., Ltd",USD,NYSE
Byggematerialer,KGSPY,Kingspan Group ADR,USD,
Akvakultur,MNHVF,Mowi ASA,USD,
Software,MSFT,Microsoft Corporation,USD,NasdaqGS
Transport,N3IA,Nio Inc - ADR,EUR,
Vindenergi,NEE,NextEra Energy Inc,USD,NYSE
Vindenergi,NEP,Nextera Energy Partners LP,USD,
Transport og elbiler,NIO,Nio Inc - ADR,USD,NYSE
Solenergi,NOVA,Sunnova Energy International Inc,USD,NYSE
Vindenergi,NPI,Northland Power Inc.,CAD,Toronto
Vindenergi,NPIFF,Northland Power Inc.,USD,
Hardware,NVDA,NVIDIA Corporation,USD,NasdaqGS
Byggematerialer,OC,Owens Corning,USD,NYSE
Vandkraft,OEZVY,VERBUND AG,USD,
Byggematerialer,OLED,Universal Display Corporation,USD,NasdaqGS
Geotermisk Energi,ORA,"Ormat Technologies, Inc.",USD,NYSE
"Vindenergi, solceler",ORSTED,Oersted A/S,DKK,København
Brændselsceller,PCELF,Powercell Sweden AB (publ),USD,
Elektriske biler,PCRFY,Panasonic Corporation,USD,
"Logistik, bolig",PLD,Prologis Inc,USD,NYSE
Brændselsceller,PLUG,Plug Power Inc,USD,NasdaqCM
Byggematerialer,RKWBF,Rockwool International A/S Class B,USD,
Byggematerialer,ROCK-B,Rockwool International A/S Class B,DKK,København
Genbrug,RSG,"Republic Services, Inc.",USD,NYSE
Solenergi,RUN,Sunrun Inc,USD,NasdaqGS
Vand,SBS,Companhia de Saneamento Bsc DEDSP,USD,NYSE
Solceller,SEDG,Solaredge Technologies Inc,USD,NasdaqGS
Solenergi,SPWR,SunPower Corporation,USD,NasdaqGS
Genbrug,SZEVF,Suez SA,USD,
Genbrug,TG9,Cleanaway Waste Management Ltd,EUR,
Elektriske biler,TSLA,Tesla Inc,USD,
Uran,UEC,Uranium Energy Corp.,USD,
Vindenergi,VWDRY,Vestas Wind Systems AS ADR,USD,
Vindenergi,VWS,Vestas Wind Systems A/S,DKK,København
Vand,WAT,Waters Corporation,USD,
Genbrug,WCN,Waste Connections Inc,USD,NYSE
Genbrug,WM,"Waste Management, Inc.",USD,NYSE
Lægemidler,WST,West Pharmaceutical Services Inc.,USD,NYSE
Vand,WTRG,Essential Utilities Inc,USD,NYSE
Vandkraft,XCMIG,Companhia Energetica de Minas Gers CEMIG Preference Shares,EUR,
Solenergi,XNYIF,Xinyi Solar Holdings Ltd,USD,
Vand,XYL,Xylem Inc,USD,NYSE